cathode_quantity,electrolyte_volume,synthesis_temperature,heat_treatment_duration,cathode_material,electrolyte_type,coating_material
50,110,500,5,LiFePO₄,LiPF₆,ZrO₂
50,110,600,2,LiCoO₂,LiPF₆,ZrO₂
50,150,500,5,LiFePO₄,LiPF₆,Al₂O₃
50,150,600,2,LiFePO₄,LiPF₆,Al₂O₃
70,110,500,2,LiFePO₄,LiPF₆,Al₂O₃
70,110,500,5,LiFePO₄,LiPF₆,ZrO₂
70,110,500,5,LiFePO₄,LiTFSI,Al₂O₃
70,110,580,5,LiFePO₄,LiPF₆,Al₂O₃
70,110,600,2,LiFePO₄,LiPF₆,Al₂O₃
70,110,600,5,LiCoO₂,LiPF₆,Al₂O₃
70,110,600,5,LiFePO₄,LiTFSI,ZrO₂
70,150,500,2,LiFePO₄,LiPF₆,ZrO₂
70,150,500,2,LiFePO₄,LiTFSI,ZrO₂
70,150,600,2,LiCoO₂,LiPF₆,Al₂O₃
70,150,600,5,LiFePO₄,LiPF₆,ZrO₂
